failed_service,failed_mode,injected_severity,affected_service,graph_distance,baseline_error_rate,fault_window_error_rate,severity_delta,was_impacted,time_to_impact_ms,baseline_latency_ms,fault_window_latency_ms,latency_delta_ms,failed_betweenness,failed_in_degree,failed_out_degree,failed_is_articulation_point,affected_betweenness,affected_in_degree,affected_out_degree,has_direct_edge,direct_edge_timeout_ms,direct_edge_retries,fault_mode_down
svc-00,down,0.5,svc-11,,0.0,0.0,0.0,False,,17.8,15.5,-2.3,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,0.5,svc-12,,0.0,0.0,0.0,False,,16.5,15.7,-0.8,0.0,0,3,False,0.0,1,0,False,-1,-1,1
svc-00,down,0.5,svc-13,,0.0,0.0,0.0,False,,17.5,15.7,-1.8,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,0.5,svc-14,,0.0,0.0,0.0,False,,17.3,14.8,-2.5,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,0.5,svc-15,,0.0,0.0,0.0,False,,16.9,15.3,-1.6,0.0,0,3,False,0.0,3,0,False,-1,-1,1
svc-00,down,0.5,svc-16,,0.0,0.0,0.0,False,,16.7,14.7,-2.0,0.0,0,3,False,0.0,2,0,False,-1,-1,1
svc-00,down,0.5,svc-17,,0.0,0.0,0.0,False,,16.7,14.6,-2.1,0.0,0,3,False,0.0,1,0,False,-1,-1,1
svc-00,slow,0.8,svc-01,,0.0,0.0,0.0,False,,238.8,213.3,-25.5,0.0,0,3,False,0.0,0,1,False,-1,-1,0
svc-00,slow,0.8,svc-02,,0.0,0.0,0.0,False,,220.8,198.5,-22.3,0.0,0,3,False,0.0,0,2,False,-1,-1,0
svc-00,slow,0.8,svc-03,,0.0,0.0,0.0,False,,222.3,188.1,-34.2,0.0,0,3,False,0.0,0,2,False,-1,-1,0
svc-00,slow,0.8,svc-04,,0.0,0.0,0.0,False,,119.2,87.7,-31.5,0.0,0,3,False,0.0,1,1,False,-1,-1,0
svc-00,slow,0.8,svc-05,,0.0,0.0,0.0,False,,205.5,142.6,-62.9,0.0,0,3,False,0.01838,3,3,False,-1,-1,0
svc-00,slow,0.8,svc-06,,0.0,0.0,0.0,False,,117.7,113.8,-3.9,0.0,0,3,False,0.01103,1,3,False,-1,-1,0
svc-00,slow,0.8,svc-07,,0.0,0.0,0.0,False,,90.5,110.8,20.3,0.0,0,3,False,0.01838,1,5,False,-1,-1,0
svc-00,slow,0.8,svc-08,,0.0,0.0,0.0,False,,213.3,133.3,-80.0,0.0,0,3,False,0.04412,2,5,False,-1,-1,0
svc-00,slow,0.8,svc-09,,0.0,0.0,0.0,False,,227.7,171.0,-56.7,0.0,0,3,False,0.01838,1,3,False,-1,-1,0
svc-00,slow,0.8,svc-10,,0.0,0.0,0.0,False,,18.0,10.3,-7.7,0.0,0,3,False,0.0,6,0,False,-1,-1,0
svc-00,slow,0.8,svc-11,,0.0,0.0,0.0,False,,17.6,10.0,-7.6,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.8,svc-12,,0.0,0.0,0.0,False,,17.6,10.8,-6.8,0.0,0,3,False,0.0,1,0,False,-1,-1,0
svc-00,slow,0.8,svc-13,,0.0,0.0,0.0,False,,18.3,11.1,-7.2,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.8,svc-14,,0.0,0.0,0.0,False,,18.1,11.2,-6.9,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.8,svc-15,,0.0,0.0,0.0,False,,16.9,10.5,-6.4,0.0,0,3,False,0.0,3,0,False,-1,-1,0
svc-00,slow,0.8,svc-16,,0.0,0.0,0.0,False,,18.0,10.0,-8.0,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.8,svc-17,,0.0,0.0,0.0,False,,16.9,10.8,-6.1,0.0,0,3,False,0.0,1,0,False,-1,-1,0
svc-00,slow,0.3,svc-01,,0.0,0.0,0.0,False,,238.4,211.3,-27.1,0.0,0,3,False,0.0,0,1,False,-1,-1,0
svc-00,slow,0.3,svc-02,,0.0,0.0,0.0,False,,229.2,198.3,-30.9,0.0,0,3,False,0.0,0,2,False,-1,-1,0
svc-00,slow,0.3,svc-03,,0.0,0.0,0.0,False,,223.4,187.5,-35.9,0.0,0,3,False,0.0,0,2,False,-1,-1,0
svc-00,slow,0.3,svc-04,,0.0,0.0,0.0,False,,95.9,73.4,-22.5,0.0,0,3,False,0.0,1,1,False,-1,-1,0
svc-00,slow,0.3,svc-05,,0.0,0.0,0.0,False,,162.2,173.5,11.3,0.0,0,3,False,0.01838,3,3,False,-1,-1,0
svc-00,slow,0.3,svc-06,,0.0,0.0,0.0,False,,131.2,97.8,-33.4,0.0,0,3,False,0.01103,1,3,False,-1,-1,0
svc-00,slow,0.3,svc-07,,0.0,0.0,0.0,False,,142.9,114.5,-28.4,0.0,0,3,False,0.01838,1,5,False,-1,-1,0
svc-00,slow,0.3,svc-08,,0.0,0.0,0.0,False,,212.2,123.8,-88.4,0.0,0,3,False,0.04412,2,5,False,-1,-1,0
svc-00,slow,0.3,svc-09,,0.0,0.0,0.0,False,,219.9,161.7,-58.2,0.0,0,3,False,0.01838,1,3,False,-1,-1,0
svc-00,slow,0.3,svc-10,,0.0,0.0,0.0,False,,17.3,12.0,-5.3,0.0,0,3,False,0.0,6,0,False,-1,-1,0
svc-00,slow,0.3,svc-11,,0.0,0.0,0.0,False,,19.7,11.5,-8.2,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.3,svc-12,,0.0,0.0,0.0,False,,19.6,11.6,-8.0,0.0,0,3,False,0.0,1,0,False,-1,-1,0
svc-00,slow,0.3,svc-13,,0.0,0.0,0.0,False,,19.0,12.9,-6.1,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.3,svc-14,,0.0,0.0,0.0,False,,19.8,13.5,-6.3,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.3,svc-15,,0.0,0.0,0.0,False,,18.2,12.5,-5.7,0.0,0,3,False,0.0,3,0,False,-1,-1,0
svc-00,slow,0.3,svc-16,,0.0,0.0,0.0,False,,17.7,12.6,-5.1,0.0,0,3,False,0.0,2,0,False,-1,-1,0
svc-00,slow,0.3,svc-17,,0.0,0.0,0.0,False,,19.0,12.6,-6.4,0.0,0,3,False,0.0,1,0,False,-1,-1,0
svc-01,down,1.0,svc-00,,0.0,0.0,0.0,False,,240.7,234.4,-6.3,0.0,0,1,False,0.0,0,3,False,-1,-1,1
svc-01,down,1.0,svc-02,,0.0,0.0,0.0,False,,207.7,170.9,-36.8,0.0,0,1,False,0.0,0,2,False,-1,-1,1
svc-01,down,1.0,svc-03,,0.0,0.0,0.0,False,,219.0,197.2,-21.8,0.0,0,1,False,0.0,0,2,False,-1,-1,1
svc-01,down,1.0,svc-04,,0.0,0.0,0.0,False,,123.7,92.6,-31.1,0.0,0,1,False,0.0,1,1,False,-1,-1,1
svc-01,down,1.0,svc-05,,0.0,0.0,0.0,False,,194.4,148.0,-46.4,0.0,0,1,False,0.01838,3,3,False,-1,-1,1
svc-01,down,1.0,svc-06,,0.0,0.0,0.0,False,,128.7,112.8,-15.9,0.0,0,1,False,0.01103,1,3,False,-1,-1,1
svc-01,down,1.0,svc-07,,0.0,0.0,0.0,False,,108.2,111.9,3.7,0.0,0,1,False,0.01838,1,5,False,-1,-1,1
svc-01,down,1.0,svc-08,,0.0,0.0,0.0,False,,209.8,180.5,-29.3,0.0,0,1,False,0.04412,2,5,False,-1,-1,1
svc-01,down,1.0,svc-09,,0.0,0.0,0.0,False,,215.8,203.6,-12.2,0.0,0,1,False,0.01838,1,3,False,-1,-1,1
svc-01,down,1.0,svc-10,,0.0,0.0,0.0,False,,18.9,15.1,-3.8,0.0,0,1,False,0.0,6,0,False,-1,-1,1
svc-01,down,1.0,svc-11,,0.0,0.0,0.0,False,,18.7,15.0,-3.7,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,1.0,svc-12,,0.0,0.0,0.0,False,,20.3,15.9,-4.4,0.0,0,1,False,0.0,1,0,False,-1,-1,1
svc-01,down,1.0,svc-13,,0.0,0.0,0.0,False,,20.6,16.0,-4.6,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,1.0,svc-14,,0.0,0.0,0.0,False,,20.1,15.5,-4.6,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,1.0,svc-15,,0.0,0.0,0.0,False,,21.0,15.5,-5.5,0.0,0,1,False,0.0,3,0,False,-1,-1,1
svc-01,down,1.0,svc-16,,0.0,0.0,0.0,False,,20.0,15.5,-4.5,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,1.0,svc-17,,0.0,0.0,0.0,False,,19.2,15.2,-4.0,0.0,0,1,False,0.0,1,0,False,-1,-1,1
svc-01,down,0.5,svc-00,,0.0,0.0,0.0,False,,242.6,243.9,1.3,0.0,0,1,False,0.0,0,3,False,-1,-1,1
svc-01,down,0.5,svc-02,,0.0,0.0,0.0,False,,208.8,194.1,-14.7,0.0,0,1,False,0.0,0,2,False,-1,-1,1
svc-01,down,0.5,svc-03,,0.0,0.0,0.0,False,,222.0,212.1,-9.9,0.0,0,1,False,0.0,0,2,False,-1,-1,1
svc-01,down,0.5,svc-04,,0.0,0.0,0.0,False,,88.8,86.7,-2.1,0.0,0,1,False,0.0,1,1,False,-1,-1,1
svc-01,down,0.5,svc-05,,0.0,0.0,0.0,False,,188.3,173.9,-14.4,0.0,0,1,False,0.01838,3,3,False,-1,-1,1
svc-01,down,0.5,svc-06,,0.0,0.0,0.0,False,,126.0,129.6,3.6,0.0,0,1,False,0.01103,1,3,False,-1,-1,1
svc-01,down,0.5,svc-07,,0.0,0.0,0.0,False,,131.0,107.0,-24.0,0.0,0,1,False,0.01838,1,5,False,-1,-1,1
svc-01,down,0.5,svc-08,,0.0,0.0,0.0,False,,178.0,194.0,16.0,0.0,0,1,False,0.04412,2,5,False,-1,-1,1
svc-01,down,0.5,svc-09,,0.0,0.0,0.0,False,,205.0,205.4,0.4,0.0,0,1,False,0.01838,1,3,False,-1,-1,1
svc-01,down,0.5,svc-10,,0.0,0.0,0.0,False,,16.6,14.5,-2.1,0.0,0,1,False,0.0,6,0,False,-1,-1,1
svc-01,down,0.5,svc-11,,0.0,0.0,0.0,False,,16.3,15.4,-0.9,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,0.5,svc-12,,0.0,0.0,0.0,False,,17.6,14.8,-2.8,0.0,0,1,False,0.0,1,0,False,-1,-1,1
svc-01,down,0.5,svc-13,,0.0,0.0,0.0,False,,16.7,15.3,-1.4,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,0.5,svc-14,,0.0,0.0,0.0,False,,17.4,15.0,-2.4,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,0.5,svc-15,,0.0,0.0,0.0,False,,17.9,14.4,-3.5,0.0,0,1,False,0.0,3,0,False,-1,-1,1
svc-01,down,0.5,svc-16,,0.0,0.0,0.0,False,,18.0,14.2,-3.8,0.0,0,1,False,0.0,2,0,False,-1,-1,1
svc-01,down,0.5,svc-17,,0.0,0.0,0.0,False,,17.0,13.9,-3.1,0.0,0,1,False,0.0,1,0,False,-1,-1,1
svc-01,slow,0.8,svc-00,,0.0,0.0,0.0,False,,250.6,239.3,-11.3,0.0,0,1,False,0.0,0,3,False,-1,-1,0
svc-01,slow,0.8,svc-02,,0.0,0.0,0.0,False,,207.8,187.4,-20.4,0.0,0,1,False,0.0,0,2,False,-1,-1,0
svc-01,slow,0.8,svc-03,,0.0,0.0,0.0,False,,224.8,218.1,-6.7,0.0,0,1,False,0.0,0,2,False,-1,-1,0
svc-01,slow,0.8,svc-04,,0.0,0.0,0.0,False,,81.9,86.7,4.8,0.0,0,1,False,0.0,1,1,False,-1,-1,0
svc-01,slow,0.8,svc-05,,0.0,0.0,0.0,False,,190.4,161.8,-28.6,0.0,0,1,False,0.01838,3,3,False,-1,-1,0
svc-01,slow,0.8,svc-06,,0.0,0.0,0.0,False,,123.8,124.7,0.9,0.0,0,1,False,0.01103,1,3,False,-1,-1,0
svc-01,slow,0.8,svc-07,,0.0,0.0,0.0,False,,107.8,113.9,6.1,0.0,0,1,False,0.01838,1,5,False,-1,-1,0
svc-01,slow,0.8,svc-08,,0.0,0.0,0.0,False,,215.1,173.9,-41.2,0.0,0,1,False,0.04412,2,5,False,-1,-1,0
svc-01,slow,0.8,svc-09,,0.0,0.0,0.0,False,,230.4,216.0,-14.4,0.0,0,1,False,0.01838,1,3,False,-1,-1,0
svc-01,slow,0.8,svc-10,,0.0,0.0,0.0,False,,15.9,8.2,-7.7,0.0,0,1,False,0.0,6,0,False,-1,-1,0
svc-01,slow,0.8,svc-11,,0.0,0.0,0.0,False,,15.7,8.5,-7.2,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.8,svc-12,,0.0,0.0,0.0,False,,16.8,8.5,-8.3,0.0,0,1,False,0.0,1,0,False,-1,-1,0
svc-01,slow,0.8,svc-13,,0.0,0.0,0.0,False,,16.4,10.4,-6.0,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.8,svc-14,,0.0,0.0,0.0,False,,16.3,10.3,-6.0,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.8,svc-15,,0.0,0.0,0.0,False,,16.5,11.0,-5.5,0.0,0,1,False,0.0,3,0,False,-1,-1,0
svc-01,slow,0.8,svc-16,,0.0,0.0,0.0,False,,17.2,9.2,-8.0,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.8,svc-17,,0.0,0.0,0.0,False,,17.3,11.1,-6.2,0.0,0,1,False,0.0,1,0,False,-1,-1,0
svc-01,slow,0.3,svc-00,,0.0,0.0,0.0,False,,255.2,244.2,-11.0,0.0,0,1,False,0.0,0,3,False,-1,-1,0
svc-01,slow,0.3,svc-02,,0.0,0.0,0.0,False,,235.6,184.5,-51.1,0.0,0,1,False,0.0,0,2,False,-1,-1,0
svc-01,slow,0.3,svc-03,,0.0,0.0,0.0,False,,239.6,212.9,-26.7,0.0,0,1,False,0.0,0,2,False,-1,-1,0
svc-01,slow,0.3,svc-04,,0.0,0.0,0.0,False,,126.3,67.0,-59.3,0.0,0,1,False,0.0,1,1,False,-1,-1,0
svc-01,slow,0.3,svc-05,,0.0,0.0,0.0,False,,210.4,156.3,-54.1,0.0,0,1,False,0.01838,3,3,False,-1,-1,0
svc-01,slow,0.3,svc-06,,0.0,0.0,0.0,False,,139.9,125.3,-14.6,0.0,0,1,False,0.01103,1,3,False,-1,-1,0
svc-01,slow,0.3,svc-07,,0.0,0.0,0.0,False,,120.6,104.9,-15.7,0.0,0,1,False,0.01838,1,5,False,-1,-1,0
svc-01,slow,0.3,svc-08,,0.0,0.0,0.0,False,,227.5,199.0,-28.5,0.0,0,1,False,0.04412,2,5,False,-1,-1,0
svc-01,slow,0.3,svc-09,,0.0,0.0,0.0,False,,235.1,217.4,-17.7,0.0,0,1,False,0.01838,1,3,False,-1,-1,0
svc-01,slow,0.3,svc-10,,0.0,0.0,0.0,False,,14.7,11.4,-3.3,0.0,0,1,False,0.0,6,0,False,-1,-1,0
svc-01,slow,0.3,svc-11,,0.0,0.0,0.0,False,,15.1,11.0,-4.1,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.3,svc-12,,0.0,0.0,0.0,False,,17.4,11.6,-5.8,0.0,0,1,False,0.0,1,0,False,-1,-1,0
svc-01,slow,0.3,svc-13,,0.0,0.0,0.0,False,,16.7,12.4,-4.3,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.3,svc-14,,0.0,0.0,0.0,False,,16.4,13.2,-3.2,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.3,svc-15,,0.0,0.0,0.0,False,,16.9,13.0,-3.9,0.0,0,1,False,0.0,3,0,False,-1,-1,0
svc-01,slow,0.3,svc-16,,0.0,0.0,0.0,False,,16.3,12.7,-3.6,0.0,0,1,False,0.0,2,0,False,-1,-1,0
svc-01,slow,0.3,svc-17,,0.0,0.0,0.0,False,,14.6,12.0,-2.6,0.0,0,1,False,0.0,1,0,False,-1,-1,0
svc-02,down,1.0,svc-00,,0.0,0.0,0.0,False,,265.8,240.6,-25.2,0.0,0,2,False,0.0,0,3,False,-1,-1,1
svc-02,down,1.0,svc-01,,0.0,0.0,0.0,False,,256.7,192.3,-64.4,0.0,0,2,False,0.0,0,1,False,-1,-1,1
svc-02,down,1.0,svc-03,,0.0,0.0,0.0,False,,253.7,216.2,-37.5,0.0,0,2,False,0.0,0,2,False,-1,-1,1
svc-02,down,1.0,svc-04,,0.0,0.0,0.0,False,,117.3,98.5,-18.8,0.0,0,2,False,0.0,1,1,False,-1,-1,1
svc-02,down,1.0,svc-05,,0.0,0.0,0.0,False,,226.3,151.7,-74.6,0.0,0,2,False,0.01838,3,3,False,-1,-1,1
svc-02,down,1.0,svc-06,,0.0,0.0,0.0,False,,136.6,128.1,-8.5,0.0,0,2,False,0.01103,1,3,False,-1,-1,1
svc-02,down,1.0,svc-07,,0.0,0.0,0.0,False,,133.2,96.7,-36.5,0.0,0,2,False,0.01838,1,5,False,-1,-1,1
svc-02,down,1.0,svc-08,,0.0,0.0,0.0,False,,162.0,183.0,21.0,0.0,0,2,False,0.04412,2,5,False,-1,-1,1
svc-02,down,1.0,svc-09,,0.0,0.0,0.0,False,,222.0,211.2,-10.8,0.0,0,2,False,0.01838,1,3,False,-1,-1,1
svc-02,down,1.0,svc-10,,0.0,0.0,0.0,False,,18.3,16.5,-1.8,0.0,0,2,False,0.0,6,0,False,-1,-1,1
svc-02,down,1.0,svc-11,,0.0,0.0,0.0,False,,20.6,16.9,-3.7,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,1.0,svc-12,,0.0,0.0,0.0,False,,20.1,15.6,-4.5,0.0,0,2,False,0.0,1,0,False,-1,-1,1
svc-02,down,1.0,svc-13,,0.0,0.0,0.0,False,,19.0,16.8,-2.2,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,1.0,svc-14,,0.0,0.0,0.0,False,,20.8,16.9,-3.9,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,1.0,svc-15,,0.0,0.0,0.0,False,,19.2,16.3,-2.9,0.0,0,2,False,0.0,3,0,False,-1,-1,1
svc-02,down,1.0,svc-16,,0.0,0.0,0.0,False,,19.8,15.4,-4.4,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,1.0,svc-17,,0.0,0.0,0.0,False,,19.0,15.5,-3.5,0.0,0,2,False,0.0,1,0,False,-1,-1,1
svc-02,down,0.5,svc-00,,0.0,0.0,0.0,False,,253.0,244.9,-8.1,0.0,0,2,False,0.0,0,3,False,-1,-1,1
svc-02,down,0.5,svc-01,,0.0,0.0,0.0,False,,232.1,210.8,-21.3,0.0,0,2,False,0.0,0,1,False,-1,-1,1
svc-02,down,0.5,svc-03,,0.0,0.0,0.0,False,,223.1,222.3,-0.8,0.0,0,2,False,0.0,0,2,False,-1,-1,1
svc-02,down,0.5,svc-04,,0.0,0.0,0.0,False,,129.3,96.4,-32.9,0.0,0,2,False,0.0,1,1,False,-1,-1,1
svc-02,down,0.5,svc-05,,0.0,0.0,0.0,False,,198.0,159.4,-38.6,0.0,0,2,False,0.01838,3,3,False,-1,-1,1
svc-02,down,0.5,svc-06,,0.0,0.0,0.0,False,,136.0,124.5,-11.5,0.0,0,2,False,0.01103,1,3,False,-1,-1,1
svc-02,down,0.5,svc-07,,0.0,0.0,0.0,False,,147.8,110.0,-37.8,0.0,0,2,False,0.01838,1,5,False,-1,-1,1
svc-02,down,0.5,svc-08,,0.0,0.0,0.0,False,,184.6,168.6,-16.0,0.0,0,2,False,0.04412,2,5,False,-1,-1,1
svc-02,down,0.5,svc-09,,0.0,0.0,0.0,False,,223.6,223.6,0.0,0.0,0,2,False,0.01838,1,3,False,-1,-1,1
svc-02,down,0.5,svc-10,,0.0,0.0,0.0,False,,17.0,19.0,2.0,0.0,0,2,False,0.0,6,0,False,-1,-1,1
svc-02,down,0.5,svc-11,,0.0,0.0,0.0,False,,16.6,20.1,3.5,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,0.5,svc-12,,0.0,0.0,0.0,False,,21.5,19.8,-1.7,0.0,0,2,False,0.0,1,0,False,-1,-1,1
svc-02,down,0.5,svc-13,,0.0,0.0,0.0,False,,21.2,20.0,-1.2,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,0.5,svc-14,,0.0,0.0,0.0,False,,20.1,19.3,-0.8,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,0.5,svc-15,,0.0,0.0,0.0,False,,19.5,19.2,-0.3,0.0,0,2,False,0.0,3,0,False,-1,-1,1
svc-02,down,0.5,svc-16,,0.0,0.0,0.0,False,,20.7,18.8,-1.9,0.0,0,2,False,0.0,2,0,False,-1,-1,1
svc-02,down,0.5,svc-17,,0.0,0.0,0.0,False,,18.9,19.1,0.2,0.0,0,2,False,0.0,1,0,False,-1,-1,1
svc-02,slow,0.8,svc-00,,0.0,0.0,0.0,False,,234.7,246.1,11.4,0.0,0,2,False,0.0,0,3,False,-1,-1,0
svc-02,slow,0.8,svc-01,,0.0,0.0,0.0,False,,221.7,206.0,-15.7,0.0,0,2,False,0.0,0,1,False,-1,-1,0
svc-02,slow,0.8,svc-03,,0.0,0.0,0.0,False,,213.6,224.4,10.8,0.0,0,2,False,0.0,0,2,False,-1,-1,0
svc-02,slow,0.8,svc-04,,0.0,0.0,0.0,False,,91.3,109.8,18.5,0.0,0,2,False,0.0,1,1,False,-1,-1,0
svc-02,slow,0.8,svc-05,,0.0,0.0,0.0,False,,186.3,156.0,-30.3,0.0,0,2,False,0.01838,3,3,False,-1,-1,0
svc-02,slow,0.8,svc-06,,0.0,0.0,0.0,False,,121.1,129.1,8.0,0.0,0,2,False,0.01103,1,3,False,-1,-1,0
svc-02,slow,0.8,svc-07,,0.0,0.0,0.0,False,,109.2,96.4,-12.8,0.0,0,2,False,0.01838,1,5,False,-1,-1,0
svc-02,slow,0.8,svc-08,,0.0,0.0,0.0,False,,203.7,209.1,5.4,0.0,0,2,False,0.04412,2,5,False,-1,-1,0
svc-02,slow,0.8,svc-09,,0.0,0.0,0.0,False,,212.3,222.0,9.7,0.0,0,2,False,0.01838,1,3,False,-1,-1,0
svc-02,slow,0.8,svc-10,,0.0,0.0,0.0,False,,14.1,12.1,-2.0,0.0,0,2,False,0.0,6,0,False,-1,-1,0
svc-02,slow,0.8,svc-11,,0.0,0.0,0.0,False,,15.2,11.4,-3.8,0.0,0,2,False,0.0,2,0,False,-1,-1,0
svc-02,slow,0.8,svc-12,,0.0,0.0,0.0,False,,16.2,12.3,-3.9,0.0,0,2,False,0.0,1,0,False,-1,-1,0
svc-02,slow,0.8,svc-13,,0.0,0.0,0.0,False,,16.3,11.6,-4.7,0.0,0,2,False,0.0,2,0,False,-1,-1,0
svc-02,slow,0.8,svc-14,,0.0,0.0,0.0,False,,15.8,12.0,-3.8,0.0,0,2,False,0.0,2,0,False,-1,-1,0
